State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.09817	1.09550	1.09356	1.09405	1.09769	1.10666	1.11029	1.11029	1.10908	1.10981	1.10035	1.09987	1.09235	1.09187	1.08944	1.08799	1.08678	1.08266	1.08266	1.07514	1.07175
2	0.50241	0.50208	0.50311	0.50289	0.50214	0.50085	0.50085	0.50251	0.50321	0.50660	0.51338	0.51736	0.52269	0.52715	0.53312	0.53802	0.54297	0.54980	0.55642	0.56460	0.57218
3	1.01793	1.00706	1.00706	1.00706	1.02228	1.03968	1.01576	1.00271	1.00271	0.95921	0.90048	0.93746	0.95051	0.96138	0.96138	0.96138	0.96791	0.98531	0.98096	0.99836	1.01141
4	4.51488	4.56263	4.60964	4.66033	4.65739	4.62727	4.58760	4.53765	4.51194	4.42820	4.28274	4.14243	3.98009	3.79864	3.61058	3.44823	3.29617	3.14117	2.98029	2.83925	2.72906
5	2.11162	2.09614	2.09827	2.08599	2.09774	2.10949	2.13886	2.15595	2.18105	2.26169	2.40108	2.45875	2.57090	2.66116	2.77171	2.83953	2.90896	2.96129	3.02057	3.05956	3.06436
6	3.14437	3.15242	3.07730	3.02632	3.07730	3.15778	3.18193	3.21412	3.13632	2.95120	2.77144	2.77413	2.60510	2.52193	2.44681	2.44145	2.31267	2.26437	2.22950	2.14096	2.08730
7	0.33003	0.31996	0.32248	0.31240	0.29728	0.30484	0.29224	0.30232	0.30484	0.28972	0.27209	0.26957	0.29728	0.28720	0.29980	0.31744	0.30988	0.32248	0.34767	0.36530	0.36530
8	0.67711	0.64668	0.62956	0.66570	0.63336	0.60483	0.58771	0.55918	0.55538	0.60864	0.66570	0.68662	0.74178	0.79884	0.81595	0.81215	0.83878	0.86731	0.86160	0.88062	0.88823
9	3.41048	3.42694	3.49276	3.42694	3.47630	3.44339	3.50922	3.51333	3.42282	3.29940	3.15953	3.02788	2.86744	2.76459	2.55477	2.44781	2.52598	2.57946	2.55477	2.62883	2.62471
10	1.50967	1.52125	1.48071	1.50967	1.50581	1.53863	1.54828	1.59268	1.68149	1.68342	1.63322	1.64288	1.62936	1.66025	1.59847	1.67376	1.70851	1.71624	1.70851	1.67569	1.75098
11	3.53550	3.51204	3.38470	3.25400	3.14676	3.04958	2.97920	2.93229	2.88537	2.86191	2.79824	2.83175	2.85186	2.87196	3.02277	2.99931	2.95574	2.87532	2.88537	2.90212	2.85521
