State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.32321	1.30331	1.28598	1.26009	1.23013	1.18070	1.13106	1.08934	1.06002	1.04355	1.03627	1.03777	1.04547	1.06495	1.09084	1.11159	1.13791	1.15567	1.17257	1.18755	1.19911
2	0.68609	0.67099	0.64288	0.60817	0.56619	0.51771	0.47384	0.44677	0.43106	0.42602	0.42089	0.41956	0.42308	0.42564	0.43087	0.43728	0.44549	0.45484	0.46320	0.47222	0.47626
3	0.78713	0.82361	0.85240	0.85432	0.84856	0.87736	0.88888	0.89656	0.94263	0.93112	0.94839	0.97527	0.97719	0.94263	0.86584	0.83704	0.78521	0.73145	0.69498	0.64314	0.63354
4	0.56800	0.52715	0.49927	0.48435	0.46425	0.44156	0.42146	0.41108	0.41303	0.42276	0.44869	0.46425	0.47592	0.49667	0.49927	0.50899	0.50834	0.51418	0.54141	0.58291	0.63413
5	1.43534	1.37406	1.30336	1.18740	1.06437	0.93427	0.82538	0.75043	0.71319	0.69669	0.67737	0.66935	0.69481	0.71461	0.74619	0.77683	0.84046	0.91023	1.00356	1.11151	1.20154
6	0.93302	0.82646	0.75541	0.69621	0.65359	0.62991	0.63701	0.64411	0.68200	0.73647	0.80041	0.85487	0.86671	0.84540	0.83119	0.82882	0.86198	0.92591	1.09641	1.22666	1.61502
7	0.70046	0.64042	0.56927	0.53813	0.50478	0.49366	0.45808	0.43362	0.41805	0.42473	0.41805	0.38248	0.35579	0.34912	0.34245	0.34912	0.38470	0.42028	0.53813	0.70269	1.00511
8	1.06099	0.93005	0.79071	0.68495	0.63626	0.55064	0.52882	0.53721	0.51203	0.46335	0.40459	0.39787	0.43481	0.44824	0.48013	0.50196	0.56575	0.70509	0.97873	1.42193	1.80806
9	9.57908	9.82600	9.70254	8.86010	7.21154	5.22165	3.27170	2.25860	1.84101	1.61225	1.67035	1.78291	2.09883	3.35885	7.88331	15.57418	22.84745	27.59342	29.42717	29.52521	28.24703
10	3.57323	4.12703	4.91256	5.76966	6.27744	6.36264	5.60948	3.91573	2.65138	2.75362	2.70762	1.92719	1.82836	1.94253	2.18109	2.70250	3.22733	3.67036	3.59198	3.27674	2.96662
11	4.57294	5.58455	7.26761	10.08059	14.62691	20.87403	28.02332	34.56624	38.65704	39.29299	39.75443	41.00858	40.33714	38.52985	33.62562	25.53275	17.30382	11.08628	7.46874	5.21777	4.03460
