State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	14.34199	0.80154	1.03123	1.06556	1.10047	1.03630	1.24356	1.11810
2	64.62881	0.39215	0.44706	0.70680	0.51343	0.42091	0.52437	1.17164
3	1.59848	2.44459	1.03449	0.67070	0.90057	0.94842	0.80798	0.90449
4	4.73290	0.67807	5.12225	2.23313	4.28172	0.44871	0.54323	0.30364
5	6.51030	0.95294	2.00675	1.85960	2.40133	0.67739	0.99154	0.41632
6	1.29591	0.90391	3.74978	2.27639	2.77173	0.80043	0.86862	0.20829
7	1.38005	0.24324	0.22506	2.27751	0.27212	0.41807	0.53804	0.13744
8	1.82799	0.48500	0.46775	2.21242	0.66577	0.40460	0.71316	0.22796
9	0.84512	1.35910	2.86338	2.21447	3.15574	1.67040	9.15075	0.23356
10	1.80097	2.43244	1.35580	1.00265	1.63339	2.70770	3.59490	0.68801
11	1.03749	40.40200	6.23562	1.42232	2.79853	39.75269	19.83423	0.32414
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
