State (Emission order)	H3K27me3	H2AFZ	H3K9ac	H3k4me3	H3K4me2	H3K27ac	H3K4me1	H3K79me2	H4k20me1	H3K36me3	H3K9me3
1	0.19162229661597993	0.004772030099465623	0.009878505921731529	2.0170598634221815E-5	1.9632699851164758E-4	4.872175313922769E-5	7.251462053706919E-4	1.2358512754478262E-5	0.015937152309115132	2.7076661878329704E-5	0.0012025544498475548
2	0.004404987297671939	0.006550193075311211	0.005037248637389484	1.2225730374340822E-6	2.6368649624309965E-5	2.2300568530424033E-4	4.428565193224588E-4	5.4248559655293665E-6	4.5870308775159373E-4	8.056458836015955E-5	0.004298794989256075
3	0.0031377654205487207	0.019738264509642837	0.004585432178223065	0.015367666534699847	3.6629255411875744E-4	0.007807971010197524	0.0015911654988518028	0.002317751662288481	0.00314343428118464	0.04981493491209222	0.4921271243395072
4	8.371546375289098E-5	1.1650815645685545E-4	0.019529965078731292	8.550859761428868E-5	1.0547880566335078E-4	0.01000390662361381	0.0015598930172346472	0.019095970848175003	0.04660721384614348	0.7382702835938988	0.013240129109701994
5	3.702479636398089E-4	0.0012622826833880879	0.015870405992070374	1.642266764616055E-5	1.0921081774788989E-4	0.009199429743161213	0.002252243234948576	0.005151728206760074	0.02335023467170399	0.0536763683448448	9.764512795755588E-4
6	3.127129252664004E-5	3.009233752675546E-4	0.04427570091707749	0.0025614226507160473	0.0250473111957536	0.06563885521945356	0.06433869300702905	0.7957418686106565	0.49210966647675264	0.9215026457435133	0.03979226678840337
7	7.096043082541497E-5	9.205691415541471E-5	0.03190319251317679	1.0542121230980918E-4	0.028192155295206342	0.039582149323379605	0.08910737037291884	0.9761923634248015	0.5830730415872308	0.1390562229915768	0.0016723821421065852
8	5.949692652273227E-4	2.29094365396004E-4	0.013299416702753086	7.374685003117149E-5	0.0019312938988270288	0.004809432172464449	0.009531108605506048	0.35766962328753765	0.12139102212446934	0.041480794833035836	0.00906355312147308
9	5.810368383997068E-4	0.004171910885208232	0.4364127057490552	0.42546790149382596	0.7920919364999985	0.39420293662467265	0.9298700444167219	0.9581574233106711	0.5026481153826129	0.42249445384845985	0.0050774887731295714
10	0.0256525314549589	0.17670474299929984	0.18940235620798052	0.01989096863077906	0.20290119226736886	0.4076128818395493	0.8132529628870341	0.021620035625251822	0.027006711968555513	0.026003478832408312	0.01042069729338429
11	0.03388610130955199	0.7449587497428187	0.9043234861163725	0.891470123801169	0.985923170474888	0.8005084053739558	0.6780012580977176	0.41744336180654723	0.07171795665422093	0.008750983742146423	0.0037056655037868715
